2022-09-19 12:26:24.950 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-09-19 12:26:24.957 [restartedMain] INFO  com.weiho.scaffold.system.AppRun - Starting AppRun using Java 1.8.0_144 on LAPTOP-SR0899OB with PID 19008 (E:\Graduation_ChouChou\Scaffold-Weiho\Scaffold\scaffold-system\target\classes started by Weiho in E:\Graduation_ChouChou\Scaffold-Weiho\Scaffold)
2022-09-19 12:26:24.957 [restartedMain] DEBUG com.weiho.scaffold.system.AppRun - Running with Spring Boot v2.7.0, Spring v5.3.20
2022-09-19 12:26:24.958 [restartedMain] INFO  com.weiho.scaffold.system.AppRun - No active profile set, falling back to 1 default profile: "default"
2022-09-19 12:26:25.012 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-09-19 12:26:25.012 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-09-19 12:26:26.991 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-09-19 12:26:26.994 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-09-19 12:26:27.016 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12 ms. Found 0 Redis repository interfaces.
2022-09-19 12:26:28.025 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2022-09-19 12:26:28.033 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2022-09-19 12:26:28.034 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-09-19 12:26:28.034 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
2022-09-19 12:26:28.134 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-09-19 12:26:28.134 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3121 ms
2022-09-19 12:26:28.343 [restartedMain] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2022-09-19 12:26:28.994 [restartedMain] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-09-19 12:26:30.688 [restartedMain] INFO  c.w.scaffold.common.config.swagger.SwaggerConfig - Swagger -> [Swagger接口文档分组 '需要token验证' 初始化]
2022-09-19 12:26:30.827 [restartedMain] INFO  c.w.scaffold.common.config.swagger.SwaggerConfig - Swagger -> [Swagger接口文档分组 '不需要token验证' 初始化]
2022-09-19 12:26:31.233 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2022-09-19 12:26:31.419 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@731672f4, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3659a588, org.springframework.security.web.context.SecurityContextPersistenceFilter@2f884371, org.springframework.security.web.header.HeaderWriterFilter@7a7b0762, org.springframework.security.web.authentication.logout.LogoutFilter@3e72bf2, org.springframework.web.filter.CorsFilter@6ff3c629, com.weiho.scaffold.system.security.token.filter.TokenFilter@70bc8e2d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@664903e3, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@264e3248, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5d640159, org.springframework.security.web.session.SessionManagementFilter@46ed53eb, org.springframework.security.web.access.ExceptionTranslationFilter@4219c2e5, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@73b041bf]
2022-09-19 12:26:31.591 [restartedMain] INFO  com.weiho.scaffold.redis.config.RedisConfig - Redis -> [Redis缓存错误处理程序初始化]
2022-09-19 12:26:32.153 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2022-09-19 12:26:32.170 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-09-19 12:26:32.170 [restartedMain] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-09-19 12:26:32.171 [restartedMain] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2022-09-19 12:26:32.172 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2022-09-19 12:26:32.455 [restartedMain] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [192.168.137.128:5672]
2022-09-19 12:26:32.485 [restartedMain] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#1cb697a0:0/SimpleConnection@41310b85 [delegate=amqp://admin@192.168.137.128:5672/, localPort= 1704]
2022-09-19 12:26:32.541 [restartedMain] INFO  com.weiho.scaffold.system.AppRun - Started AppRun in 7.919 seconds (JVM running for 12.641)
2022-09-19 12:35:59.077 [task-1] INFO  c.w.scaffold.websocket.server.LoggingMonitorServer - Monitor -> [LoggingMonitorServer 控制台日志监测任务开始]
2022-09-19 12:36:05.139 [task-1] INFO  c.w.scaffold.websocket.server.LoggingMonitorServer - Monitor -> [LoggingMonitorServer 控制台日志监测任务结束]
2022-09-19 12:36:30.575 [task-2] INFO  c.weiho.scaffold.websocket.server.SysMonitorServer - Monitor -> [SysMonitorServer 系统监测任务开始]
